Question,Answer,Class
Does aggregate turnover include value of inward supplies received on which RCM is payable?,Section 2(6) of CGST Act. Aggregate turnover does not include value of inward supplies on which tax is payable on reverse charge basis.,general
What if the dealer migrated with wrong PAN as the status of firm was changed from proprietorship to partnership? ,registration would be required as partnership firm would have new PAN. ,general
A taxable person’s business is in many states. All supplies are below 10 Lakhs. He makes an Inter State    supply from one state. Is he liable for registration? ,is liable to register if the aggregate turnover (all India) is more than 20 lacs (Rs. 10 lacs in Special Category States) or if he is engaged in inter-State supplies.,general
Can we use provisional GSTIN or do we get new GSTIN? Can we start using provisional GSTIN till new one is issued? ,"GSTIN (PID) should be converted into final GSTIN within 90 days. Yes, provisional GSTIN can be used till final GSTIN is issued. PID & final GSTIN would be same. ",general
Whether trader of country liquor is required to migrate to GST from VAT as liquor is out of GST law? ,"the person is involved in 100% supply of goods which are not liable for GST, then no registration is required. ",general
Not liable to tax as mentioned u/s 23 of CGST means nil rated supply or abated value of supply? ,liable to tax means supplies which is not leviable to tax under the CGST/SGST/IGST Act. Please refer to definition under Section 2(78) of the CGST Act. ,general
Whether civil contractor doing projects in various states requires separate registration for all states or a single registration at state of head office will suffice? ,supplier of service will have to register at the location from where he is supplying services. ,general
Whether aggregate turnover includes turnover of supplies on which tax is payable by the recipient under reverse charge? ,supplies on which tax is paid on reverse charge basis by the recipient will be included in the aggregate turnover of the supplier. ,general
"If there are two SEZ units within same state, whether two registrations are required to be obtained? ",under same PAN in a state require one registration. Please see proviso to rule 8(1) of CGST Rules. ,general
Is an advocate providing interstate supply chargeable under Reverse Charge liable for registration? ,from registration has been provided to such suppliers who are making only those supplies on which recipient is liable to discharge GST under RCM. ,general
When is registration in other state required? Will giving service from Nasik to other state require registration in other state? ,services are being provided from Nasik then registration is required to be taken only in Maharashtra and IGST to be paid on inter-state supplies. ,general
I have migrated under GST but want to register as ISD. Whether I can apply now & what is the procedure? ,separate & new registration is required for ISD.,general
I have enrolled in GST but I forgot to enter SAC codes. What should I do? The status is migrated. ,same can be filled while filing FORM REG-26 for converting provisional ID to final registration. ,general
I have ST number on individual name and have migrated to GST.I wish to transfer this on my proprietorship firm. ,conversion may be done while filling FORM REG-26 for converting provisional ID to final registration. ,general
Please tell if rental income up to 20 lacs attracts GST or attracts any other charge? ,is leviable only if aggregate turnover is more than 20 lacs. (Rs. 10 lacs in 11 special category States). For computing aggregate supplies turnover of all supplies made by you would be added. ,general
"If someone trades only 0% GST items (grains, pulses) then is it necessary to register for GST, if the turnover exceeds ₹20 lacs? ",person dealing with 100% exempted supply is not liable to register irrespective of turnover. ,general
Is it correct that person dealing exclusively in NIL rated or exempt goods/ services liable to register if turnover > 20/10 Lakh? ,is no liability of registration if the person is dealing with 100% exempt supplies. ,general
"If I register voluntarily though turnover is less than 20 Lakhs, am I required to pay tax from 1st supply I make post registration? ",you would be treated as a normal taxable person. ,general
Whether a separate GSTIN would be allotted to a registered person for deducting TDS (he has PAN and TAN as well)? ,registration as tax deductor is required. ,general
Is separate registration required for trading and manufacturing by same entity in one state? ,"will be only one registration per State for all activities. But, you have the option to be registered as a separate business vertical.",general
"I am registered in TN and getting the service from unregistered dealer of AP, should I take registration in AP to discharge GST under RCM? ",person who makes make inter-state taxable supply is required to take registration. Therefore in this case AP dealer shall take registration and pay tax. ,general
Is there any concept of area based exemption under GST? ,will be no area based exemptions in GST. ,general
"If a company in Maharashtra holds only one event in Delhi, will they have to register in Delhi? Will paying IGST from Maharashtra suffice? ","if you provide any supply from Delhi you need to take registration in Delhi. Else, registration at Mumbai is sufficient (and pay IGST on supplies made from Mumbai to Delhi) ",general
