Question,Answer
,
How will imports be taxed under GST?,imports will be deemed as inter-State supplies for the purposes of levy of GST. IGST is leviable on imports in addition to other duties of customs. Full set-off will be available as ITC of the IGST paid on import on goods and services.
How will exports be treated under GST?,exports will be deemed as inter-State supplies. Exports of goods and services will be treated as zero rated supplies. The exporter has the option either to export under bond/Letter of Undertaking without payment of tax and claim refund of ITC or pay IGST by utilizing ITC or in cash at the time of export and claim refund of IGST paid.
How can IGST be paid?,IGST can be paid by utilizing ITC to the extent available and balance by cash. The use of ITC for payment of IGST will be done in the following order:
What are the provisions for refund of taxes for exporters in GST ?,"relating to refund are contained in section 54 of the CGST Act, 2017. It provides for refund of tax paid on zero-rated supplies of goods or services  or on inputs or input services used in making such zero-rated supplies, or refund of tax on the supply of goods regarded as deemed exports, or refund of unutilized input tax credit. Identical provisions exist under the IGST Act, 2017 and relevant SGST/UTGST Acts."
Can unutilized input tax credit be allowed as refund to exporters?," Section 54(3) of the CGST Act, 2017 provides for refund of any unutilised input tax credit of inputs and input services at the end of any tax period except where "
What is the procedure for claiming refund by exporters?,"can be claimed by filing an application electronically in prescribed form along with required documents through the Common Portal, either directly or through a Facilitation Centre notified by the Commissioner. The refundable amount shall be electronically credited to any of the bank accounts of the applicant mentioned in his registration particulars and as specified in the application for refund. For details Chapter X of the CGST Rules, 2017 relating to refund may be referred to.  In case of refund of IGST, the shipping bill filed with the Customs is treated as an application for refund if the exporter has filed a valid return in Form GSTR-3/3B and the person in-charge of the conveyance carrying the goods to be exported has furnished an export manifest/report. Upon receipt of information regarding furnishing of a valid return in FORM GSTR-3 or FORM GSTR-3B by the exporter from the Common Portal, the Customs authorities at the port of export shall process the claim for refund and an amount equal to the integrated tax paid in respect of each shipping bill shall be electronically credited to the bank account of the exporter."
What is the time limit for grant of refund?,"amount shall be sanctioned within 60 days from the date of receipt of application complete in all respects. However, as a measure of facilitation to exporters, except for certain notified categories, ninety per cent of the amount excluding the amount of input tax credit provisionally accepted will be refunded provisionally within seven days from the date of acknowledgement."
Will the principle of unjust enrichment apply to exports?,principle of unjust enrichment is not applicable in case of exports of goods or services as the recipient is located outside the taxable territory.
Today under VAT/CST merchant exporters can purchase goods without payment of tax on furnishing of a declaration form. Will this system be there in GST?,there is no such provision in GST. Tax will be payable on their inward supplies and they can claim refund of the accumulated ITC.
Whether goods sent by a taxable person to a job worker be treated as supply and will they be liable to GST?,"the goods sent by a registered person to a job worker is not a supply, as there is no transfer of title and no consideration for the goods is involved. In terms of section 143 of the CGST Act, 2017 a registered taxable person (the principal), after following the prescribed procedure, may send any inputs or capital goods, without payment of GST, to a job worker for job work and the principal shall either "
Is a job worker required to take registration?,"job work is a service, it would be considered a supply and the job worker would be required to obtain registration if his aggregate turnover exceeds the prescribed threshold of Rs.20 lakhs or, as the case may be, Rs.10 Lakhs."
