Question,Answer
What is the HS code and GST rate for lac or shellac bangles?,Lac or shellac bangles are classifiable under heading 7117 and attract 3% GST.
What is the HS code and GST rate for kulfi?,Kulfi is classifiable under heading 2105 and attracts 18% GST.
What is the HS code for Solar Panel Mounting Structure and its GST rate?,"Structures of iron or steel fall under heading 7308 and structures of aluminium fall under heading 7610 and attract 18% GST.  2. Solar Panel Mounting Structure, depending on the metal they are made of, will fall under 7308 or 7610 and attract 18% GST."
What is the HS code for Idli Dosa Batter (Wet Flour) and its GST rate?,Idli Dosa Batter (Wet Flour) [as food mixes] falls under heading 2106 and attracts 18% GST.
What is the HS code for Maize Seeds and its GST rate?,Maize [of seed quality] fall under heading 1005 and attract Nil GST.
What is the HS code for Saree and dhoti and its GST rate?,Sarees and dhoti are classifiable under different headings depending on their constituent and attract GST rate as under:
Description,HS code
Woven fabrics of silk - sarees,5007
Of not more than 200 gsm,5208
Of more than 200 gsm,5209
Of any gsm,or 5408
What is the HS code and GST rate for Filters or Water Purifiers?,Filters or Water Purifiers fall under heading 8421 and attract 18% GST.
What is the HS code for Organic Surface Active Agents and its GST rate?,Organic surface-active products or preparations or agents fall under heading 3401 or 3402. 
What is the GST rate on Rakhi?,"Puja samagri, including kalava (raksha sutra) attracts Nil GST. "
What is the GST rate on Nail Polish?,Nail Polish [whether in large quantities say 50 to 100 litres or in retail packs] falls under heading 3304 and attracts 28% of GST.  
What is the GST rate and HSN code of Wet Dates?,Wet dates fall under heading 0804 and attract 12% GST.
What is the HS code and GST rate for Pet Food?,Dog or cat foods fall under heading 2309 and attracts 18% GST under the residual entry S. No. 453.
"What is the classification and GST rate for sale of Export Incentives Licences like MEIS, SEIS and IEIS?",MEIS etc. fall under heading 4907 and attract 12% GST.
What is the HSN Code and GST rate for a Fabric 1.2 MT cut for pant and 2.5 MT cut for a shirt?,"Specified fabrics attract 5% GST, whether or not in form of cut pieces."
"What is the classification of Hand Decorative Figurines and Hand Decorative Artefacts made of marble powder, stone and unsaturated resin?","Articles of marble [including those made of marble powder, stone and unsaturated resin] fall under heading 6802 and attract 28% GST."
What will be the GST rate for Arecanut/ Betel nut?,Fresh areca nut / betel nuts fall under heading 0802 and attract Nil GST. 
What is the HSN code and GST rates for Cotton Seed oil cake?,"Cotton seed oil cakes for use as aquatic feed including shrimp feed and prawn feed, poultry feed & cattle feed attract Nil GST. "
What is the GST rate for Portable and Mobile Toilets?,"Prefabricated buildings, including portable and mobile toilets, fall under heading 9406 and attract 18% GST."
What is the GST Compensation Cess rate on imported Coal?,Imported coal will attract GST compensation cess @ Rs.400 per tonne.
What is the HSN code and GST rates for Battery for mobile handsets?,Battery for mobile handsets falls under heading 8506 and attracts 28% GST.
What is the HS code and GST rate for tamarind?,Tamarind [fresh] falls under 0810 and attract Nil GST.  2. Tamarind [dry] falls under 0813 and attract 12% GST.
What is the HS code and GST rate for tamarind kernel?,Tamarind kernel falls under heading 1207 and attracts Nil GST.
What is the HS code and GST rate for tamarind kernel powder?,"Tamarind kernel powder falls under heading 1302, and attracts 18% GST."
What is the GST rate on Hair Rubber Bands?,Hair rubber bands fall under heading 4016 and attract 28% GST.
What is HS code and GST rate for Khari and hard Butters?,Khari and hard butters fall under heading 1905 and attract 18% GST.
What is the GST rate and HSN code of Khoya/Mawa?,Khoya / mawa being concentrated milk falls under 0402 and attracts 5% GST.
What will be the GST rate for printed paperboard mono carton/Dabbi of a pharmaceutical company and what will be the GST rate for a non-corrugated carton and corrugated carton?,"Cartons, boxes and cases of corrugated paper or paper board, fall under heading 4819 and attract 12% GST.  2. Folding cartons, boxes and cases, of non-corrugated paper and paperboard, falling under heading 4819 attract 18% GST under the residual entry S. No. 453."
Tobacco leaves falling under heading 2401 attracts 5% GST on reverse charge basis in respect of supply by an agriculturist. What is the meaning of tobacco leaves?,"KhFor GST rate of 5%, tobacco leaves means leaves of tobacco as such or broken tobacco leaves or tobacco leaves stems."
What is the HS code and the GST rate for Isabgol seeds?,Isabgol seeds fall under heading 1211. 
What is the HS code and the GST rate for Isabgol husk?,Isabgol husk falls under 1211 and attracts 5% GST.
What is HS code and GST rate of copra and dried coconut?,"Coconuts, fresh or dried, whether or not shelled or peeled fall under heading 0801 and attract Nil GST. As per the HSN Explanatory Notes, the heading excludes copra, the dried flesh of coconut used for the expression of coconut oil (1203)."
Footwear having a retail sale price not exceeding Rs.500 per pair [provided that such retail sale price is indelibly marked or embossed on the footwear itself] attracts 5% GST. Does the retail sale price referred to above include the GST?,"As per the Legal Metrology (Packaged Commodities) Rules, 2011, retail sale price [RSP] means the maximum price at which the commodity in packaged form may be sold to the consumer and is inclusive of all taxes. "
Readymade garments of sale value not exceeding Rs. 1000 per piece attract 5% GST.  Readymade garments of sale value exceeding Rs. 1000 per piece attract 12% GST.  How does a supplier determine what rate to charge on readymade garments?,The sale value referred to in the said entries refers to the transaction value and not the retail sale price of such readymade garments. 
What is the GST rate on chocolate ‘sandesh’ Bengali misti?,"Sandesh, whether or not containing chocolate, attract 5% GST."
,
